n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.33438605201081373,0.47392021398991346,0.5899200439453125,0.9518470764160156,0.3619270324707031,0.0006222724914550781,0.001953125,0.0,0.011689726990880445,0.011972177017014474,3805
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,0.8309003770118579,1.3020257290045265,0.5898666381835938,0.9584159851074219,0.3685493469238281,0.022367477416992188,0.025390625,0.0234375,0.042459963995497674,0.06590205401880667,63894
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,1.7697192289924715,2.8518406900111586,0.5895423889160156,0.9573974609375,0.3678550720214844,0.17885351181030273,0.1953125,0.193359375,0.09923643799265847,0.4189611609908752,284564
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.0890669010113925,4.869562067993684,0.5899696350097656,1.0190963745117188,0.4291267395019531,0.6808438301086426,0.75390625,0.748046875,0.2308509279973805,1.4411318519851193,700372
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.844550634996267,7.69818875999772,0.5901679992675781,0.9912681579589844,0.40110015869140625,2.1066460609436035,2.30078125,2.298828125,0.5628977580054197,3.8137043669994455,1411891
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,7.138211245997809,11.085516513994662,0.5910911560058594,1.0161705017089844,0.425079345703125,4.940123081207275,5.6171875,5.615234375,1.2105788810004015,8.504475825000554,2465242
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,13.947446453996236,19.225642569974298,0.5909385681152344,1.0150680541992188,0.4241294860839844,10.569759368896484,12.3359375,12.333984375,2.372510921995854,16.795465921983123,4014454
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,23.58491412800504,30.577337238995824,0.5913810729980469,1.0136375427246094,0.4222564697265625,19.925392150878906,23.134765625,23.1328125,4.458850422000978,30.57733604099485,6051522
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,38.3997617319983,47.22737770198728,0.5916709899902344,1.0476341247558594,0.455963134765625,35.221961975097656,41.892578125,41.890625,7.949414236994926,51.17614389999653,8728427
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,61.782463737006765,72.7981154040026,0.5922470092773438,1.035552978515625,0.44330596923828125,59.78828287124634,65.302734375,65.30078125,,,
