knob,level,expval,abs_error,retained_terms
max_weight,1,0.0,0.4517865691746605,0
max_weight,2,-0.5267991460016276,0.0750125768269671,16
max_weight,3,-0.4481281862659909,0.0036583829086695996,113
max_weight,4,-0.4518827408893743,9.617171471382191e-05,632
max_weight,5,-0.45178659607728205,2.6902621574897978e-08,2385
max_weight,6,-0.4517864490182042,1.201564562847146e-07,6825
min_abs,0.1,0.0,0.4517865691746605,0
min_abs,0.05,-0.48201064082735273,0.030224071652692253,8
min_abs,0.01,-0.38174733431251473,0.07003923486214575,12
min_abs,0.005,-0.43923427210236704,0.012552297072293439,19
min_abs,0.001,-0.4497193499384581,0.0020672192362024,32
min_abs,0.0005,-0.4520816374607148,0.0002950682860543008,36
min_abs,0.0001,-0.4510368448455916,0.0007497243290688904,49
min_abs,1e-05,-0.451730895477076,5.5673697584468496e-05,89
min_abs,1e-06,-0.45178549060307316,1.0785715873207202e-06,152
