n_qubits,w_max,expval,exact,abs_error,retained_terms,compile_s,delta_vs_prev
20,1,0.0,0.3670180005690724,0.3670180005690724,0,0.10297036170959473,nan
20,2,0.3762684092441435,0.3670180005690724,0.009250408675071098,20,0.6678752899169922,0.3762684092441435
20,3,0.3688676374697908,0.3670180005690724,0.0018496369007183766,196,0.7515270709991455,0.007400771774352721
20,4,0.3669777318495957,0.3670180005690724,4.02687194767104e-05,1281,1.2476694583892822,0.001889905620195087
20,5,0.3669632362664126,0.3670180005690724,5.476430265982657e-05,5985,4.868471145629883,1.4495583183116167e-05
24,1,0.0,0.1764554123077011,0.1764554123077011,0,0.15836381912231445,nan
24,2,0.048305567706195485,0.1764554123077011,0.1281498446015056,24,1.0158379077911377,0.048305567706195485
24,3,0.2145627828923093,0.1764554123077011,0.0381073705846082,300,1.216203212738037,0.1662572151861138
24,4,0.169623445143066,0.1764554123077011,0.0068319671646351054,2319,2.5388197898864746,0.0449393377492433
24,5,0.17742928351451814,0.1764554123077011,0.0009738712068170507,12913,28.02947473526001,0.007805838371452156
28,1,0.0,1.2106638050646676,1.2106638050646676,0,0.20234370231628418,nan
28,2,1.4599266059217406,1.2106638050646676,0.24926280085707297,28,1.3762633800506592,1.4599266059217406
28,3,1.1929358178703198,1.2106638050646676,0.017727987194347872,406,1.6692066192626953,0.26699078805142085
28,4,1.2101482426642463,1.2106638050646676,0.0005155624004213877,3677,4.39066219329834,0.017212424793926484
28,5,1.2108637927936101,1.2106638050646676,0.00019998772894247452,24122,80.46304702758789,0.0007155501293638622
