n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.3298507849976886,0.46430067700566724,0.5894317626953125,0.9576797485351562,0.36824798583984375,0.0006222724914550781,0.001953125,0.0,0.011436914996011183,0.011537711980054155,3805
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,0.8298039060027804,1.3169038300111424,0.5899391174316406,0.9773750305175781,0.3874359130859375,0.022367477416992188,0.025390625,0.0234375,0.04302666400326416,0.06624747600289993,63894
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,1.728121115011163,2.7571492689894512,0.5901565551757812,0.9576797485351562,0.367523193359375,0.17885351181030273,0.1953125,0.193359375,0.09472944698063657,0.41805935598677024,284564
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.083780684013618,4.846686375007266,0.5900840759277344,1.0030593872070312,0.4129753112792969,0.6808438301086426,0.75390625,0.748046875,0.22845151199726388,1.4398908920120448,700372
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.809823407995282,7.569883852003841,0.5904731750488281,1.0083427429199219,0.41786956787109375,2.1066460609436035,2.30078125,2.298828125,0.5617206169990823,3.815280081005767,1411891
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,7.228361501998734,11.139212926995242,0.5902366638183594,0.9977340698242188,0.4074974060058594,4.940123081207275,5.6171875,5.615234375,1.211714414996095,8.505424567993032,2465242
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,15.037203187006526,20.424303873005556,0.5908737182617188,0.99163818359375,0.40076446533203125,10.569759368896484,12.3359375,12.333984375,2.379312081000535,16.797912412002916,4014454
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,23.668354139022995,30.786933388997568,0.5914840698242188,1.0189895629882812,0.4275054931640625,19.925392150878906,23.134765625,23.1328125,4.455063645989867,30.573121280001942,6051522
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,38.59921570401639,47.35743297598674,0.5914878845214844,1.0189361572265625,0.4274482727050781,35.221961975097656,41.892578125,41.890625,7.954058253992116,51.176342428982025,8728427
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,61.673647053015884,72.64291732100537,0.5921173095703125,1.0778923034667969,0.4857749938964844,59.78828287124634,65.302734375,65.30078125,,,
