n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,7,15,125,1020,55,55,3675,0.37577026200597174,0.5577711010118946,0.5896873474121094,0.9747581481933594,0.38507080078125,0.0012922286987304688,0.001953125,0.0,0.015481962007470429,0.015458373993169516,8082
20,3,gpu,5,0.3,7,53,365,8474,210,210,32550,0.8195579900057055,1.3080003520008177,0.589599609375,0.9818305969238281,0.3922309875488281,0.021036624908447266,0.0234375,0.021484375,0.042552773986244574,0.06166273099370301,62293
30,3,gpu,5,0.3,7,126,780,32565,465,465,113625,1.646140259981621,2.646401149017038,0.5899238586425781,0.9811363220214844,0.39121246337890625,0.15698575973510742,0.171875,0.169921875,0.0888152310217265,0.35999317798996344,255378
40,3,gpu,5,0.3,7,232,1360,80596,820,820,273900,3.0162799209938385,4.759145498013822,0.5898513793945312,0.9824142456054688,0.3925628662109375,0.6553659439086914,0.744140625,0.740234375,0.2220664389897138,1.3534577329992317,681616
50,3,gpu,5,0.3,7,374,2120,160811,1275,1275,540375,4.795319720986299,7.545098722010152,0.5905838012695312,1.0098991394042969,0.4193153381347656,2.113034248352051,2.2890625,2.287109375,0.5592722670116927,3.86791063300916,1414537
60,3,gpu,5,0.3,7,540,3000,282306,1830,1830,940050,7.361428995005554,11.348909640975762,0.5908203125,0.9986114501953125,0.4077911376953125,5.033326625823975,5.783203125,5.78125,1.2267119659809396,8.722173949005082,2492570
70,3,gpu,5,0.3,7,729,3995,445281,2485,2485,1499925,13.914897111011669,19.23753291700268,0.5906448364257812,0.9888954162597656,0.3982505798339844,10.436625003814697,12.072265625,12.0703125,2.3515262420114595,16.627937312005088,3967618
80,3,gpu,5,0.3,7,943,5115,661864,3240,3240,2247000,22.782248146017082,29.49016579199815,0.5911865234375,1.0340461730957031,0.4428596496582031,19.230159282684326,22.578125,22.576171875,4.3253182169864886,29.403458584973123,5911353
90,3,gpu,5,0.3,7,1204,6470,947259,4095,4095,3208275,37.31420214500395,45.99527209898224,0.5922050476074219,1.0177536010742188,0.4255485534667969,34.33484935760498,41.59375,41.591796875,7.7562621280085295,50.36140484298812,8603599
100,3,gpu,5,0.3,7,1525,8125,1323226,5050,5050,4410750,62.07277268002508,73.08418940802221,0.5923423767089844,1.0605545043945312,0.4682121276855469,59.83490705490112,66.845703125,66.84375,,,
