i,h,h_over_pi,ev,time_s,zero_filtered_terms,peak_vram_gb
0,0.0,0.0,1.0,10.695954196620733,1,0.08249088
1,0.08267349088394192,0.02631578947368421,0.9975212812423706,8.62400337588042,1,0.085640192
2,0.16534698176788384,0.05263157894736842,0.9862205386161804,8.231519642751664,1,0.085897728
3,0.24802047265182575,0.07894736842105263,0.9802810549736023,8.321892112027854,1,0.085896704
4,0.3306939635357677,0.10526315789473684,0.9447633028030396,8.345483410172164,1,0.085897728
5,0.4133674544197096,0.13157894736842105,0.8880003690719604,8.294537033885717,1,0.085896704
6,0.4960409453036515,0.15789473684210525,0.829533576965332,8.208995622117072,1,0.085897728
7,0.5787144361875934,0.18421052631578946,0.7257350087165833,8.351945431903005,1,0.085897728
8,0.6613879270715354,0.21052631578947367,0.5669974088668823,8.292885629925877,1,0.085897728
9,0.7440614179554773,0.23684210526315788,0.3724566698074341,8.080498785711825,1,0.085897728
10,0.8267349088394192,0.2631578947368421,0.187054842710495,8.18495359737426,1,0.085897728
11,0.9094083997233612,0.2894736842105263,0.06483358889818192,8.196200291626155,1,0.085897728
12,0.992081890607303,0.3157894736842105,0.01401028223335743,8.317921390756965,1,0.085897728
13,1.074755381491245,0.3421052631578947,0.001738369814120233,8.186121626291424,1,0.085897728
14,1.1574288723751869,0.3684210526315789,0.0,4.599200281780213,0,0.085773824
15,1.2401023632591288,0.39473684210526316,0.0,3.890631082933396,0,0.084982272
16,1.3227758541430708,0.42105263157894735,0.0,3.3562752748839557,0,0.083544576
17,1.4054493450270127,0.4473684210526316,0.0,2.9799606376327574,0,0.082426368
18,1.4881228359109546,0.47368421052631576,0.0,2.7801945488899946,0,0.081627648
19,1.5707963267948966,0.5,0.0,2.3682950800284743,0,0.080828928
