n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.9260736419819295,1.5117173776961863,1.11383056640625,1.7384147644042969,0.6245841979980469,0.0006222724914550781,0.001953125,nan
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,1.5391176049597561,2.430830151308328,1.1138153076171875,1.8422584533691406,0.7284431457519531,0.022367477416992188,0.025390625,nan
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,2.1609797519631684,3.5529738613404334,1.1141166687011719,2.008808135986328,0.8946914672851562,0.17885351181030273,0.193359375,nan
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.4252776983194053,5.519981539342552,1.1142692565917969,2.075695037841797,0.96142578125,0.6808438301086426,0.751953125,nan
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.689962591975927,7.531725799199194,1.1144332885742188,2.08056640625,0.9661331176757812,2.095304012298584,2.279296875,nan
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,6.5359745738096535,10.411056371871382,1.114715576171875,2.08740234375,0.972686767578125,4.947340488433838,5.658203125,nan
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,11.663037691265345,16.750535236205906,1.11517333984375,2.089691162109375,0.974517822265625,10.581489086151123,12.287109375,nan
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,17.493546657264233,23.980368333868682,1.1155853271484375,2.1011428833007812,0.9855575561523438,19.80061626434326,23.005859375,nan
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,25.750296626240015,34.080484247300774,1.1157875061035156,2.301036834716797,1.1852493286132812,35.32632780075073,41.08984375,nan
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,39.199150985106826,49.48001240519807,1.116455078125,2.314128875732422,1.1976737976074219,59.156264305114746,65.955078125,nan
