knob,level,expval,abs_error,retained_terms
max_weight,1,0.0,0.5000859757393252,0
max_weight,2,-0.5034125532606912,0.003326577521366003,16
max_weight,3,-0.4978694277805576,0.002216547958767634,132
max_weight,4,-0.5006144947507154,0.0005285190113901717,643
max_weight,5,-0.49999302438949145,9.295134983378084e-05,2371
max_weight,6,-0.5000950584594751,9.082720149877765e-06,6691
min_abs,0.1,0.0,0.5000859757393252,0
min_abs,0.05,-0.2836448059444683,0.21644116979485695,6
min_abs,0.01,-0.5173001576880922,0.017214181948767004,16
min_abs,0.005,-0.4717658075473819,0.02832016819194333,25
min_abs,0.001,-0.4928186623590107,0.007267313380314555,42
min_abs,0.0005,-0.49692574430093756,0.003160231438387673,47
min_abs,0.0001,-0.5000943055158573,8.329776532089994e-06,80
min_abs,1e-05,-0.5001123891763869,2.6413437061667544e-05,160
min_abs,1e-06,-0.5000750975188248,1.087822050038767e-05,301
