n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.9426878620870411,1.5263131433166564,1.1143646240234375,1.7389640808105469,0.6245994567871094,0.0006222724914550781,0.001953125,nan,0.008535273838788271,0.009633027948439121,3805
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,1.542731017805636,2.4293370619416237,1.1144447326660156,1.842803955078125,0.7283592224121094,0.022367477416992188,0.025390625,nan,0.03363617416471243,0.041965188924223185,63894
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,2.205273538362235,3.58380560670048,1.1146774291992188,2.0091400146484375,0.8944625854492188,0.17885351181030273,0.193359375,nan,0.07223673816770315,0.15895495004951954,284564
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.4055621358565986,5.461074646096677,1.114776611328125,2.0758819580078125,0.9611053466796875,0.6808438301086426,0.751953125,nan,0.12750387378036976,0.5986600611358881,700372
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.626279030926526,7.4804311422631145,1.1149330139160156,2.0811386108398438,0.9662055969238281,2.095304012298584,2.279296875,nan,0.18241557711735368,2.1698652100749314,1411891
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,6.483221493195742,10.3181118266657,1.1152610778808594,2.087970733642578,0.9727096557617188,4.947340488433838,5.658203125,nan,0.2605846468359232,6.148992067202926,2465242
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,11.732484627049416,16.8837384050712,1.1157073974609375,2.0903167724609375,0.974609375,10.581489086151123,12.287109375,nan,0.3825316186994314,13.79331830702722,4014454
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,17.585127823986113,24.09500999422744,1.1161231994628906,2.1014022827148438,0.9852790832519531,19.80061626434326,23.005859375,nan,0.49417713982984424,26.04435632377863,6051522
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,25.74472541594878,33.99970800243318,1.1164932250976562,2.3012962341308594,1.1848030090332031,35.32632780075073,41.08984375,nan,0.6178546398878098,47.43587010819465,8728427
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,39.08015739079565,49.321880172006786,1.1170234680175781,2.3143272399902344,1.1973037719726562,59.156264305114746,65.955078125,nan,0.8181023020297289,81.23298930516466,12082941
