n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb
10,3,gpu,5,0.3,123,18,140,1109,55,55,3675,1.2900623767636716,1.9321929067373276,1.1138458251953125,1.8403129577636719,0.7264671325683594,0.0013065338134765625,0.001953125,nan
20,3,gpu,5,0.3,123,67,435,10666,210,210,32550,1.660749823320657,2.6329594501294196,1.1138763427734375,2.0037269592285156,0.8898506164550781,0.03340578079223633,0.03515625,nan
30,3,gpu,5,0.3,123,137,835,34853,465,465,113625,2.28758464474231,3.726889958139509,1.1139984130859375,2.0062255859375,0.8922271728515625,0.1767749786376953,0.197265625,nan
40,3,gpu,5,0.3,123,228,1340,78836,820,820,273900,3.3666163589805365,5.473762995097786,1.11419677734375,2.0751991271972656,0.9610023498535156,0.626410961151123,0.716796875,nan
50,3,gpu,5,0.3,123,359,2045,157087,1275,1275,540375,4.614364141132683,7.48021499812603,1.1144943237304688,2.080341339111328,0.9658470153808594,1.971930980682373,2.1640625,nan
60,3,gpu,5,0.3,123,544,3020,282230,1830,1830,940050,6.664523016195744,10.642647082917392,1.1147232055664062,2.0876083374023438,0.9728851318359375,5.073502540588379,5.796875,nan
70,3,gpu,5,0.3,123,744,4070,452101,2485,2485,1499925,11.882348945830017,17.076673802919686,1.1151313781738281,2.0904083251953125,0.9752769470214844,10.784578800201416,12.513671875,nan
80,3,gpu,5,0.3,123,971,5255,674532,3240,3240,2247000,17.74090511817485,24.350950358901173,1.11553955078125,2.1012802124023438,0.9857406616210938,20.149033069610596,23.1484375,nan
90,3,gpu,5,0.3,123,1211,6505,950399,4095,4095,3208275,25.490146200172603,33.72462139511481,1.1160774230957031,2.3010902404785156,1.1850128173828125,34.59567070007324,41.798828125,nan
100,3,gpu,5,0.3,123,1475,7875,1293634,5050,5050,4410750,37.456801262684166,47.43628516700119,1.1164283752441406,2.314739227294922,1.1983108520507812,56.33793878555298,65.91015625,nan
